團體名稱,團體類型,成立日期,理事長,社團狀態,會址電話,核准立案字號,會址
中華民國宗元靈修慈善會,社會團體,089/05/13,林漢城,已立案,02-22933851,8976355,335桃園市大溪區中華路77巷25弄4號
中華玉勅奉天宮天上聖母慈善功德會,社會團體,099/03/20,陳冠希,已立案,02-24283792,0990091718,203基隆市中山區中山一路291巷28號
台灣貝瑪巴璃佛學會,社會團體,103/05/18,吳蓮香,已立案,03-3278681,1030186672,333桃園市龜山區333文東五街93號4樓
中華草茅地母道教會,社會團體,098/02/21,鄭棋鴻,已立案,02-29101923,0980058665,231新北市新店區直潭里灣潭路3-2號
中華道教天命擲筊協會,社會團體,100/11/27,吳平鎮,已立案,02-24521223,1010088594,206基隆市七堵區福一街220號4樓
台灣吉諾麻吉跨公司交流聯盟,社會團體,094/03/14,李祖勳,已立案,02-23703407,0940021163,110臺北市信義區和平東路3段391巷30號1樓
中華國際交流協會,社會團體,097/07/27,梁東海,已立案,04-2211-2789,0970157355,401臺中市東區東南街73號
中國文化大學法律學系系友會,社會團體,104/11/07,呂偉誠,已立案,02-2331-8009,1040094795,100臺北市中正區漢口街1段82號3樓
中華民國愛加倍社會福利關懷協會,社會團體,085/10/10,陳美琍,已立案,02-2586-9329,8582809,103臺北市大同區昌吉街55號2樓205室
台灣天使投資協會,社會團體,102/03/29,林之晨,已立案,02-2545-0075,1020209445,105臺北市松山區10574民生東路4段133號10樓C室
中華民國摩擦材料協會,社會團體,079/12/22,黃國忠,已立案,03-4838075,887128,328桃園市觀音區大同二路27號
中華國際宗教藝術學會,社會團體,093/06/05,王秀銘,已立案,04-3268338,10C9352995,403臺中市西區40356東興路3段148號
台灣世界志工協會,社會團體,100/05/01,陳若望,已立案,,1000104415,235新北市中和區景平路288號8樓之7
中華博藝文化協會,社會團體,101/10/05,方倩芬,已立案,02-27088377,1010355199,106臺北市大安區復興南路2段268號11樓
中華民國鈴木音樂才能教育協會,社會團體,083/09/25,覃士剛,已立案,02-2833-2021,8331045,111臺北市士林區忠誠路二段156號2樓
靈感觀音保安功德會,社會團體,088/10/03,黃添林,已立案,02-2553-5289,,臺北市重慶北路二段一九六號三樓
台灣全球化與全球治理協會,社會團體,098/04/16,宋學文,已立案,0935971997,0980081583,嘉義縣民雄鄉三興村10鄰陳厝寮61-1號
台灣行雲會,社會團體,094/05/28,黃裕程,已立案,02-25237900,0940031628,104臺北市中山區104中山北路2段112號6樓之5
中華民國占星塔羅協會,社會團體,095/03/26,郭金郎,已立案,06-2686879,0950114223,701臺南市東區崇德路508巷30號
中華民國遊輪旅遊權益促進協會,社會團體,104/11/28,鄭春源,已立案,0932868551,1050002471,701臺南市東區70169崇善路612號
台灣防火管理人發展協會,社會團體,101/03/03,陳家光,已立案,07-3232488,1010140943,807高雄市三民區九如二路597號7樓之5
臺灣北體運動科學研究所校友會,社會團體,102/04/07,黃勝智,已立案,0932-506044,1020236818,242新北市新莊區中華路1段63巷2號9樓
中華民國家庭教育專業人員協會,社會團體,094/11/18,蔡文龍,已立案,06-2227426,0950022367,700臺南市中西區金華路3段257號4樓之5
中國書法學會,社會團體,051/09/28,沈榮槐,已立案,02-2550-4104,8206003,103臺北市大同區10346歸綏街二○九號七樓之六
中華兩岸文化經濟協會,社會團體,090/05/02,廖萬隆,解散,02-8861-2023,99年4月6日第0990063774解散,111臺北市士林區基河路二０八號五樓
中華阿魯巴登山協會,社會團體,088/12/05,馬興富,解散,02-2552-8000,,臺北市民權西路八八號二樓
中華世界佛教協會,社會團體,104/03/22,王添丁,已立案,02-82859813,1401172,221新北市汐止區樟樹二路106巷8號3樓
台灣健康永續學會,社會團體,104/10/08,陳晉興,已立案,02-23123456轉66370,1040089225,100臺北市中正區常德街1號(景福館)
台灣原住民阿美族終身學習教育協會,社會團體,089/11/14,林添福,已立案,03-8705074,8933541,976花蓮縣光復鄉大華村光華街80號(該會於104.11.17函報內政部異動備查)
中華龍鳳獅文化運動總會,社會團體,102/01/11,吳登興,已立案,05-7823281,1020086878,651雲林縣北港鎮651西勢里館前街12號
中華影視造型文化創意協會,社會團體,102/10/10,楊家璐,已立案,02-2545-8333,1020352684,105臺北市松山區民權東路3段160巷1號7樓之7(該會於105.2.17日函報內政部備查)
台灣不動產拍賣協會,社會團體,097/10/14,游世一,已立案,02-2797-8181,0970201212,114臺北市內湖區瑞光路188巷46號7樓
中華文經農創發展交流協會,社會團體,104/11/28,江清馦,已立案,02-25670077,1040088764,104臺北市中山區104民生西路3巷9號
中華民國醫學物理學會,社會團體,085/08/24,蕭安成,已立案,02-28970011-1340,8588584,110臺北市信義區吳興街252號台北醫學大學附設醫院放射腫瘤科辦公室
中華產業創新競爭力協會,社會團體,099/04/28,王永寧,已立案,02-87723358,0990186259,104臺北市中山區復興北路2號7樓之3
中華營建資訊標準協會,社會團體,094/11/17,廖慶隆,已立案,02-87325567,0940044483,臺北市辛亥路2段185號28樓
臺灣文化創意產業人才發展協會,社會團體,102/06/30,董蕙芳,已立案,0932305460,1020274424,220新北市板橋區中正里大觀路2段37巷81-3號
中華意象太極文化協會,社會團體,095/06/11,簡志新,已立案,02-2516-3738,0950116835,100臺北市中正區100林森北路609號6樓
台灣哺乳學會,社會團體,096/05/26,林良恭,已立案,08-7740414,,912屏東縣內埔鄉學府路1號屏東科技大學野生動物保育研究所
中華職能發展中心協進會,社會團體,098/11/12,侯均強,已立案,04-23938637,0980216912,402臺中市南區工學路116號14樓之1
台灣國際修復瑜珈健康推展協會,社會團體,102/09/01,李慧珍,已立案,02-27111395,1020352570,106臺北市大安區106忠孝東路4段250號10樓之1
中華民國向日葵弱勢權益保護推展協會,社會團體,100/11/26,廖欣惠,已立案,02-82183109,1000249316,231新北市新店區中正路700巷34號2樓
台灣文博創意協會,社會團體,102/11/02,陸銘澤,已立案,07-3494071,1020374491,807高雄市三民區民族一路812-1號14樓
中華悟覺功德會,社會團體,104/10/30,郭祈良,已立案,0938-717191,1040085269,411臺中市太平區大興13街100號
中華民國學術志工推動組織協會,社會團體,089/06/17,蘇詔勤,已立案,02-2568-1183,,臺北市錦州街三二號九樓之七
台灣教育文化發展學會,社會團體,102/02/03,王崇名,已立案,04-24517250#5512,1020116068,408臺中市南屯區大聖街345號
台灣區棉布印染整理工業同業公會,職業團體,044/09/09,翁茂鐘,已立案,02-23211095,262215,100臺北市中正區10092愛國東路22號12樓之3
中華民國青少年網路協會,社會團體,089/05/06,管人龍,已立案,02-2371-9927,8919097,108臺北市萬華區康定路六四號九樓
台灣錦春太極拳武術整合發展協會,社會團體,103/10/04,徐元龍,已立案,02-82280505,1030317575,235新北市中和區235連城路268號16樓之3
台灣炁機導引術氣功整復協會,社會團體,099/02/19,陳開瑜,已立案,07-3947277,0990040649,807高雄市三民區褒揚街293-2號
中華大道靈修會,社會團體,083/03/19,吳榮琨,解散,049-2305-076,8307135,542南投縣草屯鎮碧峰路232巷88弄88號
兩岸四川經濟文化交流協會,社會團體,105/01/10,袁源,已立案,0932237913,1050011225,234新北市永和區保福路2段114巷4號3樓
中華原住民田徑協會,社會團體,097/10/31,林正智,已立案,034-390394,0980065972,324桃園市平鎮區中豐路南勢2段340號
台灣濕地學會,社會團體,098/03/14,林幸助,已立案,03-5749031,0980060248,300新竹市東區培英街38巷12號
全球華人紀念抗日協會,社會團體,102/07/28,李昊,已立案,0933091136,1020344831,241新北市三重區福德南路37號8樓之2
中華星海健康促進協會,社會團體,105/01/27,黃國榮,已立案,04-22800787,1050015101,401臺中市東區401建功街65號2樓
台灣老人聯誼協會,社會團體,090/08/05,鍾添財,已立案,04-24864383,9028013,412臺中市大里區中興路2段884號
台灣星奇兒創藝協會,社會團體,105/01/10,陳穎君,已立案,,1050011778,106臺北市大安區敦化南路1段270巷6號
台灣孤兒希望使命協會,社會團體,104/03/23,陳柏原,已立案,02-82826350,1040046355,247新北市蘆洲區復興路18號
台灣基督教紅樹林全人關懷協進會,社會團體,095/10/29,陳素玉,已立案,02-28098560,0950195952,251新北市淡水區中正東路二段27-8號27樓
成功大學骨頭熱音校友會,社會團體,104/05/31,楊坤霖,已立案,02-26096885,1040045378,701臺南市東區東寧路西段22號B1
台灣學士後法律學會,社會團體,105/02/04,俞伯璋,已立案,,1050012166,104臺北市中山區復興北路66號9樓之1
臺灣桃竹苗都市更新學會,社會團體,105/02/26,楊肇慶,已立案,0971-526159,1050018955,320桃園市中壢區福壽1街67號
台灣基督教光鹽傳播協會,社會團體,092/12/22,洪林蓉蓉,已立案,037-760059,0930072544,苗栗縣通宵鎮平新一路73號
中華希望羽球協會,社會團體,101/01/08,周志達,已立案,04-22218320,1010080051,404臺中市北區進化北路392-2號12樓之1
中華兩岸教育發展協會,社會團體,096/11/25,簡良鑑,已立案,07-2818336,0970060756,801高雄市前金區大同二路133之32號
台灣乳酸菌協會,社會團體,092/07/05,陳明汝,已立案,02-25924164,0920074330,106臺北市大安區基隆路三段155巷50號(國立臺灣大學動物科學技術學系加工館206室)
中華基督教耶穌宣教協會,社會團體,105/02/21,林信成,已立案,02-2456-8331,1050015862,206基隆市七堵區崇智街11巷22號1樓
台灣也思服務學習協會,社會團體,102/07/06,謝菁菁,已立案,02-26329891,1020285785,114臺北市內湖區114康寧路3段99巷12弄12號1樓
台灣顯密佛教教育功德會,社會團體,098/12/15,蔡玉環,已立案,0978871837,0990014613,238新北市樹林區學勤路546號17樓(經本部104.8.4異動備查)
台灣海峽兩岸慈善交流協會,社會團體,104/09/18,謝冠雄,已立案,02-2751-5345李&#39;s,1050003443,106臺北市大安區忠孝東路3段248巷19弄36號1樓
中華8十事業模式學會,社會團體,103/09/27,鄭漢鐔,已立案,0933963123,1030318537,320桃園市中壢區320青埔四街61號
中華世界客家婦女協會,社會團體,086/05/24,古秋香,已立案,02-66185599,0990078917,110臺北市信義區基隆路一段163號14樓
臺灣自行車旅遊協會,社會團體,099/04/17,林佳蓉,已立案,02-86854117,0990123138,238新北市樹林區太平路174巷12號4樓
中華民國台灣懷愛協會,社會團體,088/08/28,周明仁,已立案,04-3896190,8894026,402臺中市南區建國北路1段110號
中華民國病患看護服務協會,社會團體,082/11/25,吳金章,解散,04-2322-3305,,臺中市向上路一段二四五巷七號
中國南開大學台灣校友總會,社會團體,101/01/15,劉恩廷,已立案,02-26922689,1010104022,221新北市汐止區福德一路430巷24號3樓
中華青年法律服務協會,社會團體,089/12/27,林家祺,解散,02-2388-3200,,臺北市中華路一段一九二號十樓之一
中華國際文教交流促進會,社會團體,099/09/03,許水樹,已立案,0938-797-013,0990201533,105臺北市松山區忠孝東路5段412號5樓
中華滔滔文創協會,社會團體,103/11/02,侯順吉,已立案,,1030321250,116臺北市文山區木柵路三段102巷16號7樓之2
台灣茶文化推廣協會,社會團體,100/10/08,葉淑盆,已立案,049-2643919,1000206744,557南投縣竹山鎮工業區延平路19號
中華民國數位內容學會,社會團體,094/12/23,陳國棟,已立案,06-2553938,0950013015,"709臺南市安南區安中路5段188號 (立德管理學院資訊傳播學系)"
中華麻將推展協會,社會團體,099/02/19,楊勝合,已立案,04-829-7098,0990048328,513彰化縣埔心鄉513東門村中正路1段90號
台灣歸零愛心服務協會,社會團體,092/12/23,何書婷,已立案,02-29718918,,241新北市三重區中正北路165巷25號17樓
台灣資訊儲存技術協會,社會團體,092/10/15,蔡定平,已立案,03-5331526,0920044654,300新竹市東區300自由路69號10樓之2(105.2.26函報內政部異動備查)
中華民國保存澎湖縣西嶼鄉二崁村聚落協進會,社會團體,083/03/07,陳怡碩,已立案,06-998-2776,8309953,881澎湖縣西嶼鄉二崁村十四號
台灣海洋休閒運動發展協會,社會團體,095/09/05,周光復,已立案,08-8862076,0960041126,946屏東縣恆春鎮墾丁里墾丁路21之2號
中華民國激勵協進會,社會團體,079/12/09,宋慧慈,已立案,,,406臺中市北屯區一新一街35巷2號
中華民國社會服務協會,社會團體,086/06/29,孫健萍,已立案,07-3492207,8681323,806高雄市前鎮區806一心二路119號9樓之4
台灣身心障礙服務研究發展協會,社會團體,100/10/01,柯平順,已立案,02-27388107,1000225638,臺北市基隆路二段217號6樓之1
中華博愛交通服務促進會,社會團體,087/11/13,沈易鈞,解散,02-2239-3561,,臺北市興隆路三段二六九巷一弄一號
台灣優質觀光協會,社會團體,103/09/12,朱鳳芝,已立案,02-25636385,1030321991,104臺北市中山區新生北路2段40號8樓之4
中華民國遊藝場商業同業公會全國聯合會,職業團體,089/10/20,楊晚得,已立案,02-29751896,,241新北市三重區241集成路17號3樓
中華四藝文化交流協會,社會團體,104/04/23,林幸宜,已立案,04-22037333,1040044757,404臺中市北區福龍街97號2樓之2
臺灣動漫遊戲原創產業聯盟,社會團體,103/09/16,戴謙,已立案,06-2533131轉7501,1030312733,710臺南市永康區南台街1號
中華民國發明協會,社會團體,079/11/10,葉國一,已立案,02-2351-6336,,臺北市愛國東路六十號六樓之一
台灣交通大學校友總會,社會團體,089/11/18,黃洲杰,已立案,03-571-2121#514,,新竹市大學路1001號交通大學
中華早齡教育發展學會,社會團體,104/01/03,謝京含,已立案,04-23269895,1040018619,404臺中市北區臺灣大道2段360號6樓之3
中華高壓氧暨鎮靜植牙醫學會,社會團體,102/03/26,宋志豪,已立案,03-4948311,1020221983,320桃園市中壢區320中央西路2段45號4樓
中華民國旅業管理學會,社會團體,056/03/29,沈其正,解散,02-2391-3379,,臺北市青島東路五號五樓之二
世界顏氏宗親總會,社會團體,063/11/15,顏國松,已立案,02-2595-7918,,臺北市林森北路五七五號三樓３０１室
北辰中華文化促進協會,社會團體,102/11/22,韋賀鈞,已立案,07-5666965,1030135965,802高雄市苓雅區自強三路3號12樓-9
台灣橄欖園關懷協會,社會團體,100/01/01,陳志龍,已立案,06-3037440,1000007249,710臺南市永康區大橋三街57巷7弄73號
中華邁向錫安協會,社會團體,103/10/18,呂德賴,已立案,,1030321077,302新竹縣竹北市隘口三街135號2樓
台灣客家教師協會,社會團體,092/04/20,徐鳳英,已立案,02-2885-1221,0920067105,臺北市三重區新北大道一段149號12樓(經內政部104年3月9日備查在案)
中華航空產業發展協會,社會團體,099/09/29,孫永慶,已立案,02-2345-1280,0990226507,115臺北市南港區11581研究院路3段245號
中華民國國際環保資訊科技文化交流協會,社會團體,089/10/14,莊連豪,已立案,07-537-2566,,806高雄市前鎮區衡陽街55號
中華民國銘傳大學親善大使總會,社會團體,104/03/21,闕淑茹,已立案,02-28809748,1040031850,111臺北市士林區中山北路5段250號
中華民國瑜伽舞蹈養生協會,社會團體,095/08/12,張錦峰,已立案,02-22253830,0950169531,235新北市中和區建八路126號2樓
中華潛能發展協會,社會團體,091/11/17,施麗蘭,解散,04-2239-8772,9140053,臺中市東山路2段100巷97弄16號
台灣省退伍軍人協會,社會團體,083/01/17,黃紹傑,已立案,02-2531-4082,10803,104臺北市中山區長安東路一段25號8樓
台灣惠安慈善會,社會團體,097/08/31,黃玉妃,已立案,07-6258522,0970152598,820高雄市岡山區820協和里自由巷20號
台灣第三眼啟發研究會,社會團體,094/12/25,陳麗珠,已立案,04-2526-3891,0950008218,420臺中市豐原區豐年路165號
中華自由民主統一促進會,社會團體,079/10/07,黃力強,已立案,02-2564-2426,,臺北市新生南路二段四五巷一０號二樓
台灣未來教育研究學會,社會團體,099/06/29,黃清一,已立案,04-22633311,0990170490,402臺中市南區復興路1段270號6樓
中華推拿科學學會,社會團體,086/07/13,陳梅芬,已立案,06-2899059,8625316,717臺南市仁德區文華ㄧ街89號(調理保健技術系系辦公室E601)
台灣原住民族部落多元永續關懷協會,社會團體,094/03/05,阿韻．尤命,已立案,03-3912013,0940068817,336桃園市復興區華陵村10鄰135號
台灣幸康慈愛社,社會團體,104/09/26,劉芊卉,已立案,04-22590408,1050012185,407臺中市西屯區市政北六路236號16樓之3
台灣自然科學教育推廣輔導協會,社會團體,102/11/10,張榮富,已立案,07-8125350,1020349827,830高雄市鳳山區忠誠路176號
中華民國觀賞魚診療醫學會,社會團體,086/08/31,黃萬寶,已立案,02-2562-4249,8689409,104臺北市中山區民權東路一段四六號一樓
中華巴丁顯密佛學會,社會團體,103/07/06,蘇若妙,已立案,02-27617606,1030221270,105臺北市松山區105基隆路1段38號9樓
台灣健康減重推廣協會,社會團體,094/10/09,張蓓貞,已立案,02-27637431,0940066655,110臺北市信義區永吉路30巷148弄14號2樓
中華行銷策略聯盟協進會,社會團體,099/05/28,葉再成,已立案,02-2248-5689,0990145057,115臺北市南港區南港路3段50巷5號B1
中華民國健心文化協會,社會團體,100/05/14,陳寶禎,已立案,037-987198,1000206546,366苗栗縣銅鑼鄉雙峰路86-1號
中華民國物理治療運動保健技術協會,社會團體,097/09/07,林士元,已立案,07-3318771,0970164832,800高雄市新興區80045忠孝一路26號
中華數位設計創作協會,社會團體,102/12/07,蔡雅琦,已立案,02-29001122,1030067887,330桃園市桃園區中正路685號6樓
台灣土耳其文化經濟協進會,社會團體,092/10/17,曹國賢,已立案,02-2503-6767,,臺北市民生東路2段176號10樓
台灣台北聖樂推廣協會,社會團體,095/04/25,李憲彥,已立案,02-27212582,0950084616,104臺北市中山區建國北路2段120號3樓
台灣發明協會,社會團體,061/01/23,陳宗台,已立案,02-28572040,0950083485,111臺北市士林區延平北路5段276巷4號4樓
中華民國華語推展協會,社會團體,081/01/26,沈添富,解散,02-23121717,,100臺北市中正區重慶南路1段75號4樓
中華尊勝佛學會,社會團體,100/02/13,謝智仁,已立案,04-23296669,1000079532,404臺中市北區西屯路1段368號
中華民國花卉經營研究協會,社會團體,080/04/10,陳文彬,解散,02-2507-6210,台(80)內社字第920881號,臺北市松江路六九巷一Ｏ號五樓
台灣基督教愛牧協會,社會團體,094/09/24,宋錫輝,已立案,04-26317821,0940071001,407臺中市西屯區福順路855號4樓之2
台灣勞動與社會保障協會,社會團體,098/10/09,吳育仁,已立案,05-5376506,0980221684,640雲林縣斗六市延平路36號
中華閭山派道教協會,社會團體,095/06/18,張淑女,已立案,02-2983-6862,0950107837,241新北市三重區仁愛街204巷6號1樓
臺灣電子產銷協會,社會團體,091/06/14,陳金發,已立案,04-22633529,,402臺中市南區南陽街46巷1弄32號
中華新時代協會,社會團體,088/09/12,李瑞民,已立案,02-25980778,9006369,104臺北市中山區民族西路169巷7號1樓
台灣熊愛樂活協會,社會團體,102/04/14,林純卉,已立案,02-29778025,1020199543,241新北市三重區241中正南路79巷5號
中華民國跨業交流同心協會,社會團體,103/08/07,呂玲達,已立案,02-25569976,1030318115,103臺北市大同區承德路1段70之1號12樓之1
台灣省工商安全衛生協會,社會團體,087/02/08,葉斯祁,已立案,03-4930034-5,,320桃園市中壢區中央西路2段168號2樓
台灣神經調節學會,社會團體,096/12/16,蔡元奮,已立案,02-23700999,0970006470,臺北市100中正區館前路49號6樓
中華戲劇學會,社會團體,079/04/28,劉慧芬,已立案,02-33932757,811237,100臺北市中正區重慶南路2段59號3樓
中華兩岸四地交流協會,社會團體,102/09/28,林文昌,已立案,04-22073202,1020348070,407臺中市西屯區漢口路二段93號
台灣原住民族全國頭目協會,社會團體,095/12/16,林明發,已立案,,0970077992,324桃園市平鎮區中豐路山頂段375巷24弄4號
臺灣裏千家茶道北投協會,社會團體,101/03/11,祝曉梅,已立案,02-2764-1565,1010159978,110臺北市信義區信義路5段150巷8號4樓之1(該會於105.3.28報內政部異動備查)
臺灣專業運動防護員協會,社會團體,104/03/21,魏香明,已立案,02-27728169,1041403620,111臺北市士林區中山北路七段190巷1號7樓之1
中華道教順應功德會,社會團體,099/04/11,何莫非,已立案,07-3710956,0990099860,814高雄市仁武區善德街8巷2號
亞太多元學習協會,社會團體,101/05/03,陳餘昌,已立案,02-82625353,1010236040,236新北市土城區學府路1段170號10樓
中華民國有氧競技協會,社會團體,095/01/27,呂紹能,已立案,02-23120003,0950059834,100臺北市中正區漢口街1段110號6樓之4(605室)
台灣太陽能及新能源學會,社會團體,069/01/20,楊建裕,已立案,03-591-5416,0930017142,328桃園市觀音區大潭里16鄰保生七街62號
中華民國中原大學校友總會,社會團體,086/03/15,吳餘輝,已立案,03-456-3171#150,1030300208,320桃園市中壢區普仁里22號校友室
中華國際精神文明協會,社會團體,103/10/25,林青青,解散,0228080740,1030322571,251新北市淡水區中正東路二段29之3號1樓
台灣全民環境與衛生保護協會,社會團體,100/07/24,蔡明宏,已立案,02-29290258,1000188034,234新北市永和市保安路258號
中華民國脊椎保健協會,社會團體,085/04/07,謝欣洲,已立案,02-23682823,8514467,106臺北市大安區106和平東路2段40號11樓
台灣餐飲小吃交流發展協會,社會團體,104/09/15,林益煌,已立案,02-25213881,1040081399,104臺北市中山區104中山北路2段93巷9之5號
中華民國大圓滿智慧佛學會,社會團體,093/06/13,許家榮,已立案,03-3781891,0930028671,330桃園市桃園區龍城二街43巷8號6樓
中華產業人才培訓發展協會,社會團體,100/04/17,黃采晨,已立案,03-3800511,1000218492,324桃園市平鎮區中豐路南勢2段262巷16弄17號
中華民國恩光視障關懷協會,社會團體,091/08/07,張資寧,解散,04-2359-3947,,臺中市玉門路108巷10號2樓
中華民國國立台北教育大學附設實驗國民小學校友會,社會團體,097/10/05,唐起戡,已立案,02-27356186轉150.151,0970172267,臺北市和平東路2段94號
中華民國道教三清道學會,社會團體,095/08/20,牛維方(副理事長),已立案,03-5235615,0950143203,新竹市南大路567巷45號
台灣淨行青少年希望會,社會團體,100/01/09,吳乙家,已立案,,1000076232,433臺中市沙鹿區成功東街115號2樓
中華富麗農村三生環境推廣協會,社會團體,100/02/28,翁櫻娥,已立案,05-2715698,1000053449,嘉義市民權路116-1號7樓
中華民國馬戲藝術推廣協會,社會團體,092/05/05,朱啟屏,已立案,02-27200728,0930069003,104臺北市中山區松江路25巷5號10樓之5
台灣華人基督徒查經團契協會,社會團體,101/12/16,吳永琴,已立案,02-2891-1729,1020080607,111臺北市士林區天福里忠誠路2段170號6樓
中華民國耶底底亞家庭關顧協會,社會團體,103/09/13,曾孆瑾,已立案,,1030319164,730臺南市新營區民族路67號1樓
中華民國基督教東島使命團,社會團體,094/10/02,邵遵瀾,已立案,02-25181333,0940070858,104臺北市中山區松江路23號9樓
中華民國人與植物學會,社會團體,096/06/15,林晏州,已立案,02-33664859,0960132911,臺北市羅斯福路4段1號台灣大學園藝系
中華民國歌詞作家協會,社會團體,065/06/13,李中和,解散,02-2831-9698,690433,111臺北市士林區福國路98號8樓之1
台灣臺北醫學大學公共衛生學系系友會,社會團體,098/08/01,鄭忠全,已立案,02-27361661#6509,0980164865,110臺北市信義區吳興街250號教研大樓5樓502室
中華仁德護幼協會,社會團體,100/06/12,張奈鈺,已立案,08-8823716,1000127921,944屏東縣車城鄉後灣村（路）53號
龍淵文創協會,社會團體,101/12/09,許錟輝,已立案,02-27336595,1020073819,110臺北市信義區基隆路2段201號11樓之2
中華精緻瓷畫協會,社會團體,098/03/15,余道弘,已立案,0963254811,0980076997,臺北市仁愛路四段50號之84（11樓B室）
台灣薔薇讀書協會,社會團體,094/11/26,王瑩,已立案,04-23731913,0940046242,403臺中市西區樂群街94巷15號1樓
中華民國運動產業發展協會,社會團體,102/08/03,陳金盈,已立案,02-87711476,1020290357,104臺北市中山區朱崙街20號5樓504A室
中華民國國民生活品質促進會,社會團體,076/11/21,吳永成,解散,02-2713-2132,,臺北市南京東路四段六七號六樓
中華易經堪輿研究發展協會,社會團體,098/04/05,范龍達,已立案,03-3361948,0980133328,330桃園市桃園區復興路349號
台灣樂活百歲休閒協會,社會團體,102/10/27,劉炳吾,已立案,02-23255663,1020361003,106臺北市大安區四維路198巷30弄10號2樓
中華至善社會服務協會,社會團體,084/06/11,徐昱,解散,02-2356-0118,8933719,100臺北市中正區林森北路9巷12之1號1樓
中華民國體操協會,社會團體,062/02/27,朱壽騫,已立案,02-2752-0643,0970070527,104臺北市中山區朱崙街20號503室
中華創意手工皂協會,社會團體,101/02/18,廖御廷,已立案,04-7351339,1010149854,508彰化縣和美鎮東祥路332巷33號
中華企業會計協會,社會團體,082/03/20,廖三郎,已立案,02-27853723,,110臺北市信義區110忠孝東路4段560號6樓
中華寶光崇德倫理道德培育推廣協會,社會團體,100/07/31,林峰毅,已立案,04-24836868,1000191322,412臺中市大里區益民路1段56號
台灣越南人關懷協會,社會團體,098/02/22,顏啟麟,已立案,03-5720306,0980048478,新竹市建新路104號2樓
中華居家自我健康管理推廣協會,社會團體,102/03/13,趙乃慧,已立案,04-26995678轉26,1020152801,432臺中市大肚區432沙田路2段780號9樓
台灣社區托育發展協會,社會團體,091/02/03,廖秀娟,解散,04-22361891,09106633,406臺中市北屯區406文昌東三街53號
中華彌勒世界慈善會,社會團體,099/10/03,溫程顯,已立案,02-25289588,0990261349,207新北市萬里區北基村大勇路9號
中華民國青少年兒童福利協會,社會團體,072/08/06,李鍾元,解散,02-2861-2684,,臺北市陽明山華崗路五五號
中華民國課後教育發展協會,社會團體,090/04/08,史耀雄,解散,02-2931-6630,9013129,116臺北市文山區興隆路2段153巷2弄28號1樓
中華民國防火門商業同業公會,職業團體,101/07/14,林宗籐,已立案,02-29991397,1015934160,
台灣國際農業發展促進協會,社會團體,095/07/01,曾燦燈,已立案,02-23588295,0950127442,100臺北市中正區青島東路1號3202室
中華民國唐手道協會,社會團體,089/04/16,鄒玉梅,已立案,0932-955529；037-325768,0990193822,351苗栗縣頭份市中正一路532號(該會於105.5.6函報內政部異動備查)
中華非比關懷協會,社會團體,092/10/10,林正郎,已立案,02-27933732,1010155742,114臺北市內湖區成功路2段365號6樓
中華妙淨食養文化協會,社會團體,102/12/26,林春文,已立案,,1030135731,111臺北市士林區永公路500巷50號
臺灣文化法學會,社會團體,100/12/03,謝穎青,已立案,02-26831603,1010085173,106臺北市大安區和平東路2段134號(周志宏教授研究室)
台灣兒童重症暨加護醫學會,社會團體,105/03/06,謝凱生,已立案,07-7317123#8712,,833高雄市鳥松區大埤路123號高雄長庚醫院兒童大樓7樓辦公室(18)
中華民國大專院校體育總會,社會團體,079/07/27,江漢聲,已立案,02-2771-0300,848125,104臺北市中山區朱崙街20號13樓
日本共同通信社台北辦事處,社會團體,,塩澤英一,,02-25092306,,104臺北市中山區104松江路209號626室
臺灣發明學會,社會團體,100/12/28,黃耿祥,已立案,0988399979,1010061414,813高雄市左營區榮總路243巷23號
中華民國血液淨化醫學會,社會團體,081/05/16,李孟鴻,已立案,02-2343-5651,8110252,100臺北市中正區八德路一段52號
中華演藝設備與數位通訊技術協會,社會團體,082/11/06,王李榮,已立案,02-27199646,8373796,105臺北市松山區民生東路三段130巷5弄6號
台灣嘉義大學農藝學系系友會,社會團體,099/08/21,翁順福,已立案,05-2717380,0990192927,600嘉義市東區學府路300號(台灣嘉義大學農藝學系系友會)
中華全球建築學人交流協會,社會團體,080/10/19,王聲翔,已立案,02-2719-9633轉180,,105臺北市松山區民生東路4段54號11樓之1
文化資產保存再生學會,社會團體,105/08/04,陳拓男,已立案,0928914071,,708臺南市安平區中華西路2段1巷17弄30號
台灣農藝學會,社會團體,079/04/26,陳宗禮,已立案,02-33664774,0960092928,402臺中市南區國光路250號國立中興大學農藝學系
中華弟子規行願關懷協會,社會團體,102/11/17,王添泉,已立案,04-22769096,1020383484,411臺中市太平區樹孝路67巷10號2樓
中華國際人權促進會,社會團體,096/10/14,許雅琛,已立案,02-23881233,0960169793,105臺北市松山區光復北路11巷67號1樓
中國三民主義協進會,社會團體,081/11/12,李彥鴻,已立案,02-87728217,8119295,104臺北市中山區八德路2段232號B1
台灣環保酵素綠生活協會,社會團體,101/06/24,林玉春,已立案,06-5988232,1010269520,712臺南市新化區中正路690-16號
中華旅行企業協會,社會團體,086/09/25,陳松桂,已立案,02-2381-6590,8630415,104臺北市中山區新生北路二段36號6樓之5
國立臺北大學統計學系系友會,社會團體,097/04/26,顏銘毅,已立案,02-25009272,0970108278,"臺北市民生東路三段67號 統計學系"
